日期ASIN组合,退货时间,sku,品名,ASIN,求和项:退货数量,求和项:销量
44979 | B0BMFZ3L64,2023/2/22,FT22110801,21-23福特bronco越野版座垫（2门）--全包pu皮棕黑拼色（KJ包销）,B0BMFZ3L64,1,
44979 | B0BRJ26555,2023/2/22,FT22121205,21-23福特bronco越野版后排过桥水杯座（4门）--a款KJ,B0BRJ26555,1,1
44979 | B0BN1JVJGD,2023/2/22,TPE23010501,18-22雪佛兰探界者tpe吸塑后备箱垫+椅背垫--米粒纹（KJ包销）,B0BN1JVJGD,1,
44980 | B09QMC4XFX,2023/2/23,FT22011103,21-23福特bronco越野版tpe吸塑后备箱垫（4门）--米粒纹KJ,B09QMC4XFX,1,15
44980 | B09VL31QV5,2023/2/23,FT22030301,21-23福特bronco越野版tpe吸塑椅背垫（4门）--米粒纹4片装（2大2小）KJ,B09VL31QV5,3,38
44980 | B0B213STBL,2023/2/23,FT22042302,21-23福特bronco越野版tpe吸塑椅背垫（2门）--米粒纹2片装KJ,B0B213STBL,1,2
44980 | B09YQ2WX1M,2023/2/23,FT22042304,21-23福特bronco越野版中控侧挂盒 (2/4门自动挡）--abs（连体）1个装KJ,B09YQ2WX1M,1,6
44980 | B09Z2DN5FB,2023/2/23,FT22042601,21-23福特bronco越野版手套箱隔板（2/4门）--4件套KJ,B09Z2DN5FB,1,14
44980 | B0B42BK4J2,2023/2/23,FT22060602,21-23福特bronco越野版挡泥板（2/4门）--免打孔款前轮2片装（山峰图案）KJ,B0B42BK4J2,1,
44980 | B0B4JV7P61,2023/2/23,FT22061503,21-23福特bronco越野版机盖液压杆（2/4门）--不锈钢（银色）升级款KJ,B0B4JV7P61,1,1
44980 | B0BGMXGQY4,2023/2/23,FT22090802,21-23福特bronco越野版中控无线充电板（2/4门自动挡）KJ,B0BGMXGQY4,1,
44980 | B0BJTZ1Z27,2023/2/23,FT22092811,21-23福特bronco越野版延伸轮眉（2/4门铁杠标准轮眉）--1对装KJ,B0BJTZ1Z27,1,
44980 | B0BRJ26555,2023/2/23,FT22121205,21-23福特bronco越野版后排过桥水杯座（4门）--a款KJ,B0BRJ26555,1,1
44980 | B0BLYMPH1R,2023/2/23,FT23051101,21-23福特bronco越野版6.5英寸吊舱音响外壳（2/4门）--升级款哑黑色（KJ包销）,B0BLYMPH1R,1,
44980 | B0B19FYJWB,2023/2/23,FT23081501,21-23福特bronco越野版遮物帘（4门）--黑色帆布（挂钩款）KJ包销,B0B19FYJWB,1,4
